#           k/h    P           
   0.238610E+01   0.803115E+01
   0.243430E+01   0.764497E+01
   0.248348E+01   0.727695E+01
   0.253365E+01   0.692625E+01
   0.258483E+01   0.659208E+01
   0.263704E+01   0.627367E+01
   0.269032E+01   0.597032E+01
   0.274466E+01   0.568132E+01
   0.280011E+01   0.540601E+01
   0.285668E+01   0.514376E+01
   0.291439E+01   0.489397E+01
   0.297326E+01   0.465606E+01
   0.303332E+01   0.442948E+01
   0.309460E+01   0.421371E+01
   0.315712E+01   0.400823E+01
   0.322090E+01   0.381258E+01
   0.328596E+01   0.362630E+01
   0.335234E+01   0.344894E+01
   0.342006E+01   0.328009E+01
   0.348916E+01   0.311935E+01
   0.355964E+01   0.296634E+01
   0.363155E+01   0.282069E+01
   0.370491E+01   0.268207E+01
   0.377976E+01   0.255013E+01
   0.385611E+01   0.242457E+01
   0.393401E+01   0.230508E+01
   0.401348E+01   0.219138E+01
   0.409456E+01   0.208319E+01
   0.417727E+01   0.198025E+01
   0.426166E+01   0.188230E+01
   0.434775E+01   0.178912E+01
   0.443558E+01   0.170048E+01
   0.452519E+01   0.161615E+01
   0.461660E+01   0.153594E+01
   0.470987E+01   0.145964E+01
   0.480501E+01   0.138708E+01
   0.490208E+01   0.131806E+01
   0.500111E+01   0.125242E+01
   0.510214E+01   0.119000E+01
   0.520521E+01   0.113064E+01
   0.531036E+01   0.107420E+01
   0.541763E+01   0.102053E+01
   0.552708E+01   0.969508E+00
   0.563873E+01   0.920994E+00
   0.575264E+01   0.874872E+00
   0.586885E+01   0.831026E+00
   0.598741E+01   0.789346E+00
   0.610836E+01   0.749726E+00
   0.623176E+01   0.712066E+00
   0.635765E+01   0.676271E+00
   0.648609E+01   0.642251E+00
   0.661711E+01   0.609918E+00
   0.675079E+01   0.579190E+00
   0.688716E+01   0.549989E+00
   0.702629E+01   0.522241E+00
   0.716823E+01   0.495874E+00
   0.731304E+01   0.470820E+00
   0.746077E+01   0.447016E+00
   0.761149E+01   0.424399E+00
   0.776525E+01   0.402912E+00
   0.792212E+01   0.382499E+00
   0.808217E+01   0.363106E+00
   0.824543E+01   0.344685E+00
   0.841200E+01   0.327186E+00
   0.858193E+01   0.310565E+00
   0.875530E+01   0.294778E+00
   0.893217E+01   0.279783E+00
   0.911261E+01   0.265542E+00
   0.929670E+01   0.252018E+00
   0.948451E+01   0.239174E+00
   0.967610E+01   0.226976E+00
   0.987158E+01   0.215394E+00
   0.100710E+02   0.204395E+00
   0.102744E+02   0.193952E+00
   0.104820E+02   0.184037E+00
   0.106938E+02   0.174622E+00
   0.109098E+02   0.165684E+00
   0.111302E+02   0.157198E+00
   0.113550E+02   0.149142E+00
   0.115844E+02   0.141494E+00
   0.118184E+02   0.134234E+00
   0.120572E+02   0.127343E+00
   0.123007E+02   0.120802E+00
   0.125492E+02   0.114593E+00
   0.128027E+02   0.108700E+00
   0.130614E+02   0.103106E+00
   0.133252E+02   0.977978E-01
   0.135944E+02   0.927598E-01
   0.138691E+02   0.879787E-01
   0.141492E+02   0.834416E-01
   0.144351E+02   0.791360E-01
   0.147267E+02   0.750504E-01
   0.150242E+02   0.711737E-01
   0.153277E+02   0.674952E-01
   0.156373E+02   0.640049E-01
   0.159532E+02   0.606934E-01
   0.162755E+02   0.575516E-01
   0.166043E+02   0.545708E-01
   0.169397E+02   0.517429E-01
   0.172819E+02   0.490602E-01
   0.176310E+02   0.465153E-01
   0.179872E+02   0.441012E-01
   0.183505E+02   0.418111E-01
   0.187212E+02   0.396389E-01
   0.190994E+02   0.375785E-01
   0.194853E+02   0.356243E-01
   0.198789E+02   0.337707E-01
   0.202805E+02   0.320127E-01
   0.206902E+02   0.303454E-01
   0.211081E+02   0.287642E-01
   0.215346E+02   0.272646E-01
   0.219696E+02   0.258425E-01
   0.224134E+02   0.244940E-01
   0.228662E+02   0.232152E-01
   0.233281E+02   0.220026E-01
   0.237994E+02   0.208527E-01
   0.242802E+02   0.197625E-01
   0.247707E+02   0.187288E-01
   0.252710E+02   0.177486E-01
   0.257816E+02   0.168194E-01
   0.263024E+02   0.159384E-01
   0.268337E+02   0.151031E-01
   0.273758E+02   0.143113E-01
   0.279288E+02   0.135606E-01
   0.284930E+02   0.128489E-01
   0.290686E+02   0.121743E-01
   0.296558E+02   0.115349E-01
   0.302549E+02   0.109287E-01
   0.308661E+02   0.103542E-01
   0.314897E+02   0.980956E-02
   0.321258E+02   0.929336E-02
   0.327748E+02   0.880411E-02
   0.334369E+02   0.834041E-02
   0.341123E+02   0.790094E-02
   0.348014E+02   0.748443E-02
   0.355045E+02   0.708970E-02
   0.362217E+02   0.671563E-02
   0.369535E+02   0.636113E-02
   0.377000E+02   0.602520E-02
   0.384616E+02   0.570686E-02
   0.392386E+02   0.540521E-02
   0.400312E+02   0.511937E-02
   0.408399E+02   0.484853E-02
   0.416649E+02   0.459190E-02
   0.425066E+02   0.434875E-02
   0.433653E+02   0.411837E-02
   0.442413E+02   0.390009E-02
   0.451350E+02   0.369329E-02
   0.460469E+02   0.349737E-02
   0.469770E+02   0.331176E-02
   0.479261E+02   0.313591E-02
   0.488942E+02   0.296933E-02
   0.498820E+02   0.281153E-02
   0.508896E+02   0.266204E-02
   0.519177E+02   0.252043E-02
   0.529665E+02   0.238630E-02
   0.540365E+02   0.225924E-02
   0.551281E+02   0.213889E-02
   0.562417E+02   0.202490E-02
   0.573779E+02   0.191694E-02
   0.585370E+02   0.181468E-02
   0.597195E+02   0.171783E-02
   0.609260E+02   0.162610E-02
   0.621568E+02   0.153923E-02
   0.634124E+02   0.145695E-02
   0.646934E+02   0.137904E-02
   0.660003E+02   0.130526E-02
   0.673336E+02   0.123538E-02
   0.686938E+02   0.116922E-02
   0.700816E+02   0.110656E-02
