#           k/h    P           
   0.409456E+01   0.218722E+01
   0.417727E+01   0.207951E+01
   0.426166E+01   0.197701E+01
   0.434775E+01   0.187947E+01
   0.443558E+01   0.178667E+01
   0.452519E+01   0.169837E+01
   0.461660E+01   0.161436E+01
   0.470987E+01   0.153444E+01
   0.480501E+01   0.145841E+01
   0.490208E+01   0.138608E+01
   0.500111E+01   0.131729E+01
   0.510214E+01   0.125185E+01
   0.520521E+01   0.118962E+01
   0.531036E+01   0.113043E+01
   0.541763E+01   0.107414E+01
   0.552708E+01   0.102060E+01
   0.563873E+01   0.969701E+00
   0.575264E+01   0.921298E+00
   0.586885E+01   0.875275E+00
   0.598741E+01   0.831518E+00
   0.610836E+01   0.789915E+00
   0.623176E+01   0.750364E+00
   0.635765E+01   0.712765E+00
   0.648609E+01   0.677023E+00
   0.661711E+01   0.643048E+00
   0.675079E+01   0.610754E+00
   0.688716E+01   0.580060E+00
   0.702629E+01   0.550886E+00
   0.716823E+01   0.523160E+00
   0.731304E+01   0.496811E+00
   0.746077E+01   0.471771E+00
   0.761149E+01   0.447977E+00
   0.776525E+01   0.425366E+00
   0.792212E+01   0.403882E+00
   0.808217E+01   0.383470E+00
   0.824543E+01   0.364075E+00
   0.841200E+01   0.345649E+00
   0.858193E+01   0.328144E+00
   0.875530E+01   0.311514E+00
   0.893217E+01   0.295717E+00
   0.911261E+01   0.280711E+00
   0.929670E+01   0.266457E+00
   0.948451E+01   0.252918E+00
   0.967610E+01   0.240059E+00
   0.987158E+01   0.227846E+00
   0.100710E+02   0.216247E+00
   0.102744E+02   0.205232E+00
   0.104820E+02   0.194771E+00
   0.106938E+02   0.184837E+00
   0.109098E+02   0.175404E+00
   0.111302E+02   0.166447E+00
   0.113550E+02   0.157942E+00
   0.115844E+02   0.149867E+00
   0.118184E+02   0.142201E+00
   0.120572E+02   0.134922E+00
   0.123007E+02   0.128012E+00
   0.125492E+02   0.121452E+00
   0.128027E+02   0.115224E+00
   0.130614E+02   0.109312E+00
   0.133252E+02   0.103701E+00
   0.135944E+02   0.983744E-01
   0.138691E+02   0.933187E-01
   0.141492E+02   0.885201E-01
   0.144351E+02   0.839658E-01
   0.147267E+02   0.796434E-01
   0.150242E+02   0.755413E-01
   0.153277E+02   0.716483E-01
   0.156373E+02   0.679540E-01
   0.159532E+02   0.644482E-01
   0.162755E+02   0.611216E-01
   0.166043E+02   0.579650E-01
   0.169397E+02   0.549698E-01
   0.172819E+02   0.521279E-01
   0.176310E+02   0.494316E-01
   0.179872E+02   0.468734E-01
   0.183505E+02   0.444463E-01
   0.187212E+02   0.421437E-01
   0.190994E+02   0.399594E-01
   0.194853E+02   0.378872E-01
   0.198789E+02   0.359214E-01
   0.202805E+02   0.340568E-01
   0.206902E+02   0.322880E-01
   0.211081E+02   0.306103E-01
   0.215346E+02   0.290190E-01
   0.219696E+02   0.275097E-01
   0.224134E+02   0.260781E-01
   0.228662E+02   0.247204E-01
   0.233281E+02   0.234328E-01
   0.237994E+02   0.222117E-01
   0.242802E+02   0.210536E-01
